[ITER 200] points=54275 sel=0 (0.0000) valid=0 (0.0000) clone=0 split=0 thr=0.000200 p90=0.000000 p95=0.000000 p99=0.000000 mem_alloc=0.09G mem_reserved=0.35G
[ITER 400] points=54275 sel=0 (0.0000) valid=0 (0.0000) clone=0 split=0 thr=0.000200 p90=0.000000 p95=0.000000 p99=0.000000 mem_alloc=0.09G mem_reserved=0.38G
[ITER 600] points=54275 sel=0 (0.0000) valid=24458 (0.4506) clone=0 split=0 thr=0.000200 p90=0.000048 p95=0.000050 p99=0.000053 mem_alloc=0.16G mem_reserved=0.38G
[ITER 800] points=54683 sel=0 (0.0000) valid=13644 (0.2495) clone=0 split=0 thr=0.000058 topk=168 p90=0.000042 p95=0.000046 p99=0.000051 mem_alloc=0.14G mem_reserved=0.36G
[ITER 1000] points=55051 sel=2 (0.0000) valid=18562 (0.3372) clone=1 split=1 thr=0.000058 topk=241 p90=0.000048 p95=0.000051 p99=0.000055 mem_alloc=0.15G mem_reserved=0.37G
[ITER 1200] points=55437 sel=75 (0.0014) valid=19909 (0.3591) clone=29 split=46 thr=0.000058 topk=213 p90=0.000053 p95=0.000055 p99=0.000057 mem_alloc=0.15G mem_reserved=0.38G
[ITER 1400] points=55864 sel=1414 (0.0253) valid=25501 (0.4565) clone=703 split=711 thr=0.000057 topk=247 p90=0.000055 p95=0.000057 p99=0.000060 mem_alloc=0.15G mem_reserved=0.41G
[ITER 1600] points=56350 sel=18 (0.0003) valid=20229 (0.3590) clone=11 split=7 thr=0.000057 topk=257 p90=0.000043 p95=0.000047 p99=0.000052 mem_alloc=0.15G mem_reserved=0.37G
[ITER 1800] points=56694 sel=0 (0.0000) valid=19783 (0.3489) clone=0 split=0 thr=0.000060 topk=172 p90=0.000046 p95=0.000049 p99=0.000053 mem_alloc=0.16G mem_reserved=0.35G
[ITER 2000] points=57040 sel=1 (0.0000) valid=6823 (0.1196) clone=1 split=0 thr=0.000056 topk=182 p90=0.000042 p95=0.000045 p99=0.000050 mem_alloc=0.14G mem_reserved=0.41G
[ITER 2200] points=57299 sel=213 (0.0037) valid=20983 (0.3662) clone=141 split=72 thr=0.000054 topk=225 p90=0.000047 p95=0.000050 p99=0.000054 mem_alloc=0.17G mem_reserved=0.43G
[ITER 2400] points=57589 sel=322 (0.0056) valid=13751 (0.2388) clone=43 split=279 thr=0.000048 topk=123 p90=0.000041 p95=0.000045 p99=0.000052 mem_alloc=0.16G mem_reserved=0.42G
[ITER 2600] points=57894 sel=208 (0.0036) valid=27042 (0.4671) clone=114 split=94 thr=0.000056 topk=197 p90=0.000050 p95=0.000052 p99=0.000055 mem_alloc=0.16G mem_reserved=0.43G
[ITER 2800] points=58336 sel=181 (0.0031) valid=31614 (0.5419) clone=108 split=73 thr=0.000056 topk=206 p90=0.000045 p95=0.000048 p99=0.000054 mem_alloc=0.17G mem_reserved=0.50G
[ITER 3000] points=58814 sel=42 (0.0007) valid=18705 (0.3180) clone=6 split=36 thr=0.000055 topk=181 p90=0.000043 p95=0.000047 p99=0.000052 mem_alloc=0.16G mem_reserved=0.40G
[ITER 3200] points=51048 sel=2911 (0.0570) valid=17183 (0.3366) clone=1012 split=1899 thr=0.000050 topk=77 p90=0.000053 p95=0.000055 p99=0.000058 mem_alloc=0.14G mem_reserved=0.45G
[ITER 3400] points=48826 sel=1082 (0.0222) valid=23285 (0.4769) clone=465 split=617 thr=0.000054 topk=155 p90=0.000052 p95=0.000054 p99=0.000057 mem_alloc=0.14G mem_reserved=0.41G
[ITER 3600] points=47978 sel=533 (0.0111) valid=24680 (0.5144) clone=236 split=297 thr=0.000051 topk=202 p90=0.000047 p95=0.000050 p99=0.000053 mem_alloc=0.15G mem_reserved=0.32G
[ITER 3800] points=47514 sel=85 (0.0018) valid=27931 (0.5878) clone=66 split=19 thr=0.000055 topk=264 p90=0.000048 p95=0.000050 p99=0.000053 mem_alloc=0.15G mem_reserved=0.36G
[ITER 4000] points=47170 sel=4 (0.0001) valid=23903 (0.5067) clone=4 split=0 thr=0.000055 topk=137 p90=0.000047 p95=0.000049 p99=0.000052 mem_alloc=0.15G mem_reserved=0.44G
[ITER 4200] points=46797 sel=968 (0.0207) valid=27000 (0.5770) clone=596 split=372 thr=0.000048 topk=92 p90=0.000045 p95=0.000047 p99=0.000051 mem_alloc=0.15G mem_reserved=0.39G
[ITER 4400] points=46420 sel=345 (0.0074) valid=5545 (0.1195) clone=121 split=224 thr=0.000042 topk=5 p90=0.000038 p95=0.000043 p99=0.000050 mem_alloc=0.12G mem_reserved=0.40G
[ITER 4600] points=46315 sel=1836 (0.0396) valid=28874 (0.6234) clone=930 split=906 thr=0.000051 topk=301 p90=0.000049 p95=0.000051 p99=0.000055 mem_alloc=0.15G mem_reserved=0.33G
[ITER 4800] points=46360 sel=124 (0.0027) valid=13588 (0.2931) clone=42 split=82 thr=0.000051 topk=264 p90=0.000041 p95=0.000045 p99=0.000051 mem_alloc=0.14G mem_reserved=0.37G
[ITER 5000] points=46287 sel=83 (0.0018) valid=23888 (0.5161) clone=62 split=21 thr=0.000054 topk=223 p90=0.000047 p95=0.000049 p99=0.000052 mem_alloc=0.15G mem_reserved=0.36G
[ITER 5200] points=46107 sel=41 (0.0009) valid=5681 (0.1232) clone=25 split=16 thr=0.000052 topk=46 p90=0.000041 p95=0.000046 p99=0.000051 mem_alloc=0.12G mem_reserved=0.51G
[ITER 5400] points=45990 sel=192 (0.0042) valid=20794 (0.4521) clone=141 split=51 thr=0.000054 topk=244 p90=0.000048 p95=0.000051 p99=0.000054 mem_alloc=0.15G mem_reserved=0.36G
[ITER 5600] points=46023 sel=91 (0.0020) valid=9822 (0.2134) clone=60 split=31 thr=0.000052 topk=224 p90=0.000041 p95=0.000046 p99=0.000052 mem_alloc=0.13G mem_reserved=0.32G
[ITER 5800] points=45902 sel=280 (0.0061) valid=19840 (0.4322) clone=90 split=190 thr=0.000053 topk=159 p90=0.000042 p95=0.000047 p99=0.000054 mem_alloc=0.14G mem_reserved=0.47G
[ITER 6000] points=45886 sel=200 (0.0044) valid=25060 (0.5461) clone=100 split=100 thr=0.000052 topk=146 p90=0.000046 p95=0.000049 p99=0.000052 mem_alloc=0.15G mem_reserved=0.33G
[ITER 6200] points=42960 sel=230 (0.0054) valid=22627 (0.5267) clone=139 split=91 thr=0.000053 topk=118 p90=0.000048 p95=0.000050 p99=0.000053 mem_alloc=0.15G mem_reserved=0.43G
[ITER 6400] points=42768 sel=0 (0.0000) valid=11332 (0.2650) clone=0 split=0 thr=0.000200 p90=0.000045 p95=0.000050 p99=0.000056 mem_alloc=0.13G mem_reserved=0.40G
[ITER 6600] points=42781 sel=781 (0.0183) valid=14761 (0.3450) clone=349 split=432 thr=0.000052 topk=270 p90=0.000050 p95=0.000052 p99=0.000056 mem_alloc=0.13G mem_reserved=0.35G
[ITER 6800] points=42779 sel=0 (0.0000) valid=5457 (0.1276) clone=0 split=0 thr=0.000054 topk=212 p90=0.000032 p95=0.000037 p99=0.000044 mem_alloc=0.12G mem_reserved=0.37G
[ITER 7000] points=42810 sel=277 (0.0065) valid=10544 (0.2463) clone=115 split=162 thr=0.000054 topk=268 p90=0.000049 p95=0.000052 p99=0.000055 mem_alloc=0.12G mem_reserved=0.19G
[ITER 7200] points=42604 sel=2990 (0.0702) valid=12336 (0.2896) clone=1177 split=1813 thr=0.000044 topk=7 p90=0.000049 p95=0.000052 p99=0.000057 mem_alloc=0.13G mem_reserved=0.36G
[ITER 7400] points=42740 sel=1202 (0.0281) valid=9252 (0.2165) clone=334 split=868 thr=0.000050 topk=288 p90=0.000051 p95=0.000053 p99=0.000056 mem_alloc=0.13G mem_reserved=0.32G
[ITER 7600] points=42749 sel=75 (0.0018) valid=8609 (0.2014) clone=51 split=24 thr=0.000052 topk=181 p90=0.000040 p95=0.000045 p99=0.000052 mem_alloc=0.13G mem_reserved=0.36G
[ITER 7800] points=42653 sel=384 (0.0090) valid=11500 (0.2696) clone=190 split=194 thr=0.000054 topk=92 p90=0.000050 p95=0.000053 p99=0.000056 mem_alloc=0.13G mem_reserved=0.33G
[ITER 8000] points=42766 sel=199 (0.0047) valid=16692 (0.3903) clone=108 split=91 thr=0.000052 topk=247 p90=0.000038 p95=0.000043 p99=0.000052 mem_alloc=0.13G mem_reserved=0.28G
[ITER 8200] points=42796 sel=23 (0.0005) valid=23191 (0.5419) clone=17 split=6 thr=0.000057 topk=115 p90=0.000040 p95=0.000045 p99=0.000051 mem_alloc=0.15G mem_reserved=0.48G
[ITER 8400] points=43062 sel=913 (0.0212) valid=19122 (0.4441) clone=197 split=716 thr=0.000051 topk=267 p90=0.000048 p95=0.000051 p99=0.000054 mem_alloc=0.15G mem_reserved=0.41G
[ITER 8600] points=43195 sel=330 (0.0076) valid=17559 (0.4065) clone=238 split=92 thr=0.000055 topk=178 p90=0.000051 p95=0.000053 p99=0.000057 mem_alloc=0.15G mem_reserved=0.42G
[ITER 8800] points=43207 sel=240 (0.0056) valid=22173 (0.5132) clone=177 split=63 thr=0.000057 topk=92 p90=0.000048 p95=0.000051 p99=0.000057 mem_alloc=0.14G mem_reserved=0.45G
[ITER 9000] points=43423 sel=0 (0.0000) valid=30 (0.0007) clone=0 split=0 thr=0.000055 topk=171 p90=0.000021 p95=0.000024 p99=0.000026 mem_alloc=0.12G mem_reserved=0.40G
[ITER 9200] points=42297 sel=168 (0.0040) valid=21607 (0.5108) clone=84 split=84 thr=0.000055 topk=155 p90=0.000045 p95=0.000049 p99=0.000055 mem_alloc=0.16G mem_reserved=0.53G
[ITER 9400] points=42336 sel=7 (0.0002) valid=22681 (0.5357) clone=7 split=0 thr=0.000058 topk=125 p90=0.000049 p95=0.000052 p99=0.000055 mem_alloc=0.15G mem_reserved=0.37G
[ITER 9600] points=42553 sel=119 (0.0028) valid=18321 (0.4305) clone=62 split=57 thr=0.000056 topk=275 p90=0.000042 p95=0.000050 p99=0.000055 mem_alloc=0.14G mem_reserved=0.44G
[ITER 9800] points=42722 sel=180 (0.0042) valid=12730 (0.2980) clone=75 split=105 thr=0.000052 topk=224 p90=0.000039 p95=0.000044 p99=0.000054 mem_alloc=0.14G mem_reserved=0.40G
[ITER 10000] points=42901 sel=335 (0.0078) valid=9329 (0.2175) clone=174 split=161 thr=0.000050 topk=303 p90=0.000035 p95=0.000043 p99=0.000054 mem_alloc=0.13G mem_reserved=0.35G
[ITER 10200] points=43007 sel=15 (0.0003) valid=12147 (0.2824) clone=9 split=6 thr=0.000056 topk=240 p90=0.000049 p95=0.000051 p99=0.000054 mem_alloc=0.13G mem_reserved=0.33G
[ITER 10400] points=43048 sel=4674 (0.1086) valid=22535 (0.5235) clone=2340 split=2334 thr=0.000047 topk=131 p90=0.000050 p95=0.000052 p99=0.000054 mem_alloc=0.15G mem_reserved=0.36G
[ITER 10600] points=43365 sel=38 (0.0009) valid=29740 (0.6858) clone=27 split=11 thr=0.000055 topk=289 p90=0.000044 p95=0.000047 p99=0.000052 mem_alloc=0.16G mem_reserved=0.33G
[ITER 10800] points=43634 sel=9 (0.0002) valid=25836 (0.5921) clone=6 split=3 thr=0.000056 topk=176 p90=0.000046 p95=0.000048 p99=0.000051 mem_alloc=0.16G mem_reserved=0.42G
[ITER 11000] points=43878 sel=0 (0.0000) valid=10792 (0.2460) clone=0 split=0 thr=0.000057 topk=185 p90=0.000033 p95=0.000037 p99=0.000045 mem_alloc=0.13G mem_reserved=0.40G
